RowId,BrokerId,PolicyNumber,PremiumAmount,CommissionRate
1,B200,POL-0001,5463.73,0.12
2,B200,POL-0002,9548.63,0.12
3,B100,POL-0003,3989.3,0.15
4,B100,POL-0004,5611.58,0.15
5,B100,POL-0005,8204.93,0.15
6,B400,POL-0006,6233.16,0.10
7,B200,POL-0007,8506.96,0.12
8,B100,POL-0008,5848.24,0.15
9,B200,POL-0009,7037.75,0.12
10,B100,POL-0010,878.46,0.15
11,B200,POL-0011,2580.85,0.12
12,B100,POL-0012,3155.78,0.15
13,B100,POL-0013,1196.05,0.15
14,B100,POL-0014,2626.59,0.15
15,B300,POL-0015,1394.36,0.18
16,B300,POL-0016,3049.05,0.18
17,B100,POL-0017,6393.65,0.15
18,B200,POL-0018,3861.18,0.12
19,B200,POL-0019,3911.19,0.12
20,B100,POL-0020,2408.89,0.15
21,B300,POL-0021,2946.24,0.18
22,B100,POL-0022,9207.72,0.15
23,B200,POL-0023,6509.13,0.12
24,B400,POL-0024,6145.37,0.10
25,B300,POL-0025,2050.15,0.18
26,B200,POL-0026,7267.34,0.12
27,B200,POL-0027,1977.81,0.12
28,B100,POL-0028,3997.91,0.15
29,B200,POL-0029,9702.04,0.12
30,B300,POL-0030,6434.0,0.18
31,B400,POL-0031,5657.48,0.10
32,B300,POL-0032,6851.14,0.18
33,B200,POL-0033,8330.67,0.12
34,B300,POL-0034,7705.6,0.18
35,B100,POL-0035,2591.6,0.15
36,B400,POL-0036,750.14,0.10
37,B400,POL-0037,3399.49,0.10
38,B100,POL-0038,2953.38,0.15
39,B200,POL-0039,2422.69,0.12
40,B300,POL-0040,9266.21,0.18
41,B100,POL-0041,8644.04,0.15
42,B200,POL-0042,3392.24,0.12
43,B100,POL-0043,6578.35,0.15
44,B100,POL-0044,4149.16,0.15
45,B100,POL-0045,9001.02,0.15
46,B100,POL-0046,4740.26,0.15
47,B100,POL-0047,2926.63,0.15
48,B100,POL-0048,2755.97,0.15
49,B100,POL-0049,5698.79,0.15
50,B300,POL-0050,2906.63,0.18
51,,POL-0051,100.00,0.15
52,B100,POL-0052,notanumber,0.15
53,B100
